,address,city,cuisines,latitude,longitude,name,postalcode,websites
1759,948 Zion Park Blvd,Springdale,Mexican,37.189078412,-113.000241944,Oscar's Cafe,84767,http://cafeoscars.com
1760,948 Zion Park Blvd,Springdale,Mexican,37.189078412,-113.000241944,Oscar's Cafe,84767,http://cafeoscars.com
1761,948 Zion Park Blvd,Springdale,Mexican,37.189078412,-113.000241944,Oscar's Cafe,84767,http://cafeoscars.com
1762,948 Zion Park Blvd,Springdale,Mexican,37.189078412,-113.000241944,Oscar's Cafe,84767,http://cafeoscars.com
1763,948 Zion Park Blvd,Springdale,Mexican,37.189078412,-113.000241944,Oscar's Cafe,84767,http://cafeoscars.com
1781,1524 Jadwin Ave,Richland,Mexican,46.293386188,-119.278851588,Isla Bonita,99354,
1782,1524 Jadwin Ave,Richland,Mexican,46.293386188,-119.278851588,Isla Bonita,99354,
1797,8420 W Peoria Ave,Peoria,Mexican Restaurants,33.58167,-112.24008,Don Lenchos Mexican Food,85345,http://donlenchos.com
1798,8420 W Peoria Ave,Peoria,Mexican Restaurants,33.58167,-112.24008,Don Lenchos Mexican Food,85345,http://donlenchos.com
1799,686 Union Ave,Grants Pass,Mexican,42.422529,-123.343183,Casablanca Coffee & Grill,97527,
1800,686 Union Ave,Grants Pass,Mexican,42.422529,-123.343183,Casablanca Coffee & Grill,97527,
1801,686 Union Ave,Grants Pass,Mexican,42.422529,-123.343183,Casablanca Coffee & Grill,97527,
1802,686 Union Ave,Grants Pass,Mexican,42.422529,-123.343183,Casablanca Coffee & Grill,97527,
1803,686 Union Ave,Grants Pass,Mexican,42.422529,-123.343183,Casablanca Coffee & Grill,97527,
1804,4475 Cheshire Station Plz,Woodbridge,Latin American Restaurants,38.646484,-77.334342,Kikiriki,22193,http://www.superchickenmanassas.com
1805,155 Hiawatha Dr,Carol Stream,Mexican Restaurants,41.91641,-88.121908,Taco Real,60188,
1806,155 Hiawatha Dr,Carol Stream,Mexican Restaurants,41.91641,-88.121908,Taco Real,60188,
1807,155 Hiawatha Dr,Carol Stream,Mexican Restaurants,41.91641,-88.121908,Taco Real,60188,
1808,155 Hiawatha Dr,Carol Stream,Mexican Restaurants,41.91641,-88.121908,Taco Real,60188,
1809,2013 E Red River St,Victoria,Mexican Restaurants,28.814043,-96.98405,La Cabana,77901,http://www.lacabanabrc.com
1810,5910 Duraleigh Rd,Raleigh,Mexican Restaurants,35.85906,-78.71291,Salsa Fresh Mexican Grill,27612,"http://www.salsafreshgrill.com,http://salsafreshgrill.com"
1811,5910 Duraleigh Rd,Raleigh,Mexican Restaurants,35.85906,-78.71291,Salsa Fresh Mexican Grill,27612,"http://www.salsafreshgrill.com,http://salsafreshgrill.com"
1812,5910 Duraleigh Rd,Raleigh,Mexican Restaurants,35.85906,-78.71291,Salsa Fresh Mexican Grill,27612,"http://www.salsafreshgrill.com,http://salsafreshgrill.com"
1813,5910 Duraleigh Rd,Raleigh,Mexican Restaurants,35.85906,-78.71291,Salsa Fresh Mexican Grill,27612,"http://www.salsafreshgrill.com,http://salsafreshgrill.com"
1835,2481 N 54th St,Philadelphia,Latin American Restaurants,39.995936562,-75.234267711,Landmark Americana Tap & Grill,19131,http://www.landmarkamericana.com/cl-home.html
1836,2481 N 54th St,Philadelphia,Latin American Restaurants,39.995936562,-75.234267711,Landmark Americana Tap & Grill,19131,http://www.landmarkamericana.com/cl-home.html
1837,12635 Crabapple Rd,Alpharetta,"Mexican,Mexican Restaurants",34.08913,-84.34308,CANS Taqueria,30004,"http://www.canstaqueria.com/,http://canstaqueria.com"
1838,12635 Crabapple Rd,Alpharetta,"Mexican,Mexican Restaurants",34.08913,-84.34308,CANS Taqueria,30004,"http://www.canstaqueria.com/,http://canstaqueria.com"
1859,10400 Airport Hwy,Swanton,Latin American Restaurants,41.601824469,-83.791681868,Loma Linda Restaurant,43558,http://www.lomalindamexican.com
1860,10400 Airport Hwy,Swanton,Latin American Restaurants,41.601824469,-83.791681868,Loma Linda Restaurant,43558,http://www.lomalindamexican.com
1861,10400 Airport Hwy,Swanton,Latin American Restaurants,41.601824469,-83.791681868,Loma Linda Restaurant,43558,http://www.lomalindamexican.com
1862,10400 Airport Hwy,Swanton,Latin American Restaurants,41.601824469,-83.791681868,Loma Linda Restaurant,43558,http://www.lomalindamexican.com
1889,1728 Massachusetts Ave,Cambridge,Mexican,42.384108,-71.119676,Boca Grande Taqueria,2138,http://bocagrande.ypguides.net
1890,1728 Massachusetts Ave,Cambridge,Mexican,42.384108,-71.119676,Boca Grande Taqueria,2138,http://bocagrande.ypguides.net
1891,1728 Massachusetts Ave,Cambridge,Mexican,42.384108,-71.119676,Boca Grande Taqueria,2138,http://bocagrande.ypguides.net
1892,1728 Massachusetts Ave,Cambridge,Mexican,42.384108,-71.119676,Boca Grande Taqueria,2138,http://bocagrande.ypguides.net
1893,14224 Madison Ave,Lakewood,"Mexican,Latin American Restaurants",41.477154883,-81.793073913,El Tango Taqueria,44107,http://eltangogrill.com
1894,14224 Madison Ave,Lakewood,"Mexican,Latin American Restaurants",41.477154883,-81.793073913,El Tango Taqueria,44107,http://eltangogrill.com
1895,14224 Madison Ave,Lakewood,"Mexican,Latin American Restaurants",41.477154883,-81.793073913,El Tango Taqueria,44107,http://eltangogrill.com
1896,14224 Madison Ave,Lakewood,"Mexican,Latin American Restaurants",41.477154883,-81.793073913,El Tango Taqueria,44107,http://eltangogrill.com
1897,14224 Madison Ave,Lakewood,"Mexican,Latin American Restaurants",41.477154883,-81.793073913,El Tango Taqueria,44107,http://eltangogrill.com
